track_id,track_name,artist_name,album_name,genre,release_year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit
SPOT001,Top Song 1,Arijit Singh,Album 1,Pop,2024.0,83,0.46,0.83,-5.23,0.123,0.093,0.092,0.267,0.307,143.34,214820,False
SPOT002,Top Song 2,Taylor Swift,Album 1,Hip-Hop,2021.0,84,0.477,0.424,-8.53,0.09,0.403,0.086,0.239,0.659,89.65,280523,False
SPOT003,Top Song 3,The Weeknd,Album 2,R&B,2024.0,98,0.659,0.703,-9.63,0.16,0.144,0.013,0.667,0.924,159.88,218148,False
SPOT004,Top Song 4,Drake,Album 2,Rock,2021.0,61,0.716,0.867,-8.61,0.11,0.153,0.151,0.326,0.356,134.61,159692,False
SPOT005,Top Song 5,Billie Eilish,Album 3,EDM,2019.0,98,0.914,0.908,-5.22,0.232,0.085,0.039,0.079,0.444,115.81,232798,False
SPOT006,Top Song 6,Ed Sheeran,Album 3,Pop,2019.0,79,0.519,0.669,-8.87,0.205,0.074,0.197,0.552,0.349,75.58,286330,True
SPOT007,Top Song 7,Dua Lipa,Album 4,Hip-Hop,2025.0,89,0.824,0.712,-2.59,0.17,0.688,0.17,0.342,0.272,113.94,227373,False
SPOT008,Top Song 8,,Album 4,R&B,2020.0,98,0.733,0.903,-6.22,0.048,0.541,0.152,0.415,0.778,126.85,269176,False
SPOT009,Top Song 9,Bad Bunny,Album 5,Rock,2019.0,96,0.614,0.437,-2.83,0.129,0.431,0.139,0.141,0.653,131.68,212623,False
SPOT010,Top Song 10,Justin Bieber,Album 5,EDM,2020.0,76,0.878,0.725,-7.63,0.044,0.353,0.044,0.321,0.862,109.06,225766,False
SPOT011,Top Song 11,Post Malone,Album 6,Pop,2024.0,87,0.513,0.74,-10.0,0.101,0.242,0.033,0.397,0.564,147.71,163545,False
SPOT012,Top Song 12,Bruno Mars,Album 6,Hip-Hop,2024.0,86,0.661,0.778,-7.09,0.244,0.723,0.05,0.373,0.426,104.91,243264,False
SPOT013,Top Song 13,Harry Styles,Album 7,R&B,2019.0,56,0.597,0.322,-7.24,0.166,0.517,0.106,0.341,0.615,137.23,248506,False
SPOT014,Top Song 14,SZA,Album 7,Rock,2018.0,92,0.571,0.73,-4.93,0.143,0.086,0.167,0.259,0.34,79.28,199811,False
SPOT015,Top Song 15,Adele,Album 8,EDM,2021.0,73,0.777,0.85,-7.21,0.042,0.707,0.08,0.387,0.828,145.95,189384,False
SPOT016,Top Song 16,Doja Cat,Album 8,Pop,2024.0,84,0.767,0.455,-8.6,0.246,0.397,0.052,0.698,0.924,133.62,179855,False
SPOT017,Top Song 17,Coldplay,Album 9,Hip-Hop,2018.0,95,0.56,0.794,-2.82,0.224,0.589,0.128,0.105,0.321,169.35,276063,True
SPOT018,Top Song 18,Imagine Dragons,Album 9,R&B,2020.0,79,0.353,0.409,-5.61,0.179,0.496,0.045,0.513,0.378,109.17,285059,False
SPOT019,Top Song 19,Olivia Rodrigo,Album 10,Rock,2025.0,61,0.783,0.509,-5.66,0.137,0.485,0.05,0.433,0.934,126.11,286967,False
SPOT020,Top Song 20,Shawn Mendes,Album 10,EDM,2019.0,75,0.652,0.692,-6.06,0.065,0.547,0.056,0.066,0.684,93.6,274123,False
SPOT021,Top Song 21,Arijit Singh,Album 11,Pop,2023.0,60,0.572,0.311,-2.57,0.118,0.726,0.193,0.604,0.421,115.44,156102,False
SPOT022,Top Song 22,Taylor Swift,Album 11,Hip-Hop,2020.0,72,0.684,0.937,-4.43,0.151,0.091,0.123,0.694,0.305,129.42,255864,False
SPOT023,Top Song 23,The Weeknd,Album 12,R&B,2025.0,93,0.526,0.85,-3.52,0.219,0.687,0.102,0.376,0.799,143.25,156655,False
SPOT024,Top Song 24,Drake,Album 12,Rock,2023.0,66,0.882,0.319,-5.37,0.121,0.511,0.066,0.151,0.936,163.09,181024,True
SPOT025,Top Song 25,Billie Eilish,Album 13,EDM,2023.0,69,0.566,0.386,-5.82,0.197,0.178,0.125,0.105,0.239,130.79,223523,True
SPOT026,Top Song 26,Ed Sheeran,Album 13,Pop,2019.0,96,0.544,0.841,-7.83,0.121,0.077,0.005,0.676,0.827,148.08,224740,True
SPOT027,Top Song 27,Dua Lipa,Album 14,Hip-Hop,2019.0,55,0.615,0.463,-9.25,0.062,0.702,0.128,0.386,0.693,120.75,217215,True
SPOT028,Top Song 28,Ariana Grande,Album 14,R&B,2023.0,83,0.42,0.331,-9.67,0.217,0.534,0.095,0.114,0.569,124.71,206573,False
SPOT029,Top Song 29,Bad Bunny,Album 15,Rock,2024.0,64,0.919,0.903,-7.91,0.024,0.701,0.1,0.401,0.713,139.66,254182,False
SPOT030,Top Song 30,Justin Bieber,Album 15,EDM,2021.0,86,0.914,0.691,-6.89,0.168,0.355,0.109,0.662,0.49,175.93,219449,False
SPOT031,Top Song 31,Post Malone,Album 16,Pop,2022.0,67,0.479,0.557,-9.69,0.162,0.266,0.131,0.301,0.711,110.77,207458,False
SPOT032,Top Song 32,Bruno Mars,Album 16,Hip-Hop,,99,0.912,0.327,-6.66,0.243,0.42,0.085,0.42,0.632,151.82,167955,False
SPOT033,Top Song 33,Harry Styles,Album 17,R&B,2024.0,86,0.554,0.933,-3.13,0.119,0.568,0.151,0.117,0.877,128.05,281800,False
SPOT034,Top Song 34,SZA,Album 17,Rock,2020.0,73,0.584,0.307,-2.76,0.041,0.253,0.19,0.668,0.63,141.34,236900,True
SPOT035,Top Song 35,Adele,Album 18,EDM,2021.0,79,0.682,0.445,-2.43,0.2,0.103,0.186,0.683,0.947,80.87,188102,False
SPOT036,Top Song 36,Doja Cat,Album 18,Pop,2020.0,72,0.931,0.768,-3.3,0.219,0.632,0.085,0.195,0.497,168.65,238092,True
SPOT037,Top Song 37,Coldplay,Album 19,Hip-Hop,2020.0,62,0.575,0.552,-3.5,0.238,0.74,0.151,0.295,0.263,156.6,176790,False
SPOT038,Top Song 38,Imagine Dragons,Album 19,R&B,2019.0,73,0.417,0.635,-9.91,0.128,0.061,0.024,0.126,0.687,153.33,230219,False
SPOT039,Top Song 39,Olivia Rodrigo,Album 20,Rock,2024.0,79,0.871,0.452,-2.29,0.023,0.728,0.009,0.629,0.596,179.26,171732,False
SPOT040,Top Song 40,Shawn Mendes,Album 20,EDM,2020.0,74,0.395,0.413,-8.27,0.088,0.747,0.139,0.3,0.753,171.1,249657,False
